id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,avg_salary
abdelal01,"June 24, 1968","Cairo, Egypt",0.3,50.2,0.0,70.1,256.0,13.0,5.7,3.3,4.8,50.2,Duke University,25th overall,1st round,Portland Trail Blazers,1990.0,6-10,"Bloomfield in Bloomfield, New Jersey",Alaa Abdelnaby,Power Forward,Right,240lb,568800.0
abdulma02,"March 9, 1969","Gulfport, Mississippi",3.5,44.2,35.4,90.5,586.0,15.4,14.6,1.9,25.2,47.2,Louisiana State University,3rd overall,1st round,Denver Nuggets,1990.0,6-1,"Gulfport in Gulfport, Mississippi",Mahmoud Abdul-Rauf,Point Guard,Right,162lb,2205500.0
abdulta01,"November 3, 1974","Maisons Alfort, France",1.1,41.7,23.7,70.3,236.0,11.4,7.8,3.3,3.5,42.2,"University of Michigan, San Jose State University",11th overall,1st round,Sacramento Kings,1997.0,6-6,"Lycee Aristide Briand in Evreux, France",Tariq Abdul-Wahad,Shooting Guard,Right,223lb,3798280.0
abdursh01,"December 11, 1976","Marietta, Georgia",2.5,47.2,29.7,81.0,830.0,19.0,18.1,7.5,71.2,47.9,University of California,3rd overall,1st round,Vancouver Grizzlies,1996.0,6-9,"Wheeler in Marietta, Georgia",Shareef Abdur-Rahim,Center and Small Forward and Power Forward,Right,225lb,8715090.91
acresma01,"November 15, 1962","Inglewood, California",0.5,50.6,53.8,66.5,375.0,9.0,3.6,4.1,9.3,50.9,Oral Roberts University,40th overall,2nd round,Dallas Mavericks,1985.0,6-11,"Palos Verdes in Palos Verdes Estates, California",Mark Acres,Center,Right,220lb,321800.0
acyqu01,"October 6, 1990","Tyler, Texas",0.6,44.4,35.0,75.9,337.0,11.2,4.9,3.5,8.7,51.3,Baylor University,37th overall,2nd round,Toronto Raptors,2012.0,6-7,"Mesquite Horn in Mesquite, Texas",Quincy Acy,Power Forward and Small Forward,Right,240lb,1146500.86
adamsmi01,"January 19, 1963","Hartford, Connecticut",6.4,41.5,33.2,84.9,653.0,16.6,14.7,2.9,46.9,47.5,Boston College,66th overall,3rd round,Sacramento Kings,1985.0,5-10,"Hartford Public in Hartford, Connecticut",Michael Adams,Point Guard,Right,162lb,826500.0
adamsst01,"July 20, 1993","Rotorua, New Zealand",1.0,58.8,0.0,55.3,467.0,16.7,9.7,7.4,38.7,58.8,University of Pittsburgh,12th overall,1st round,Oklahoma City Thunder,2013.0,7-0,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Steven Adams,Center,Right,265lb,6433461.4
addisra01,"July 22, 1964","Jersey City, New Jersey",0.9,44.9,28.2,77.2,379.0,10.5,5.8,2.1,4.9,46.6,Syracuse University,39th overall,2nd round,Phoenix Suns,1986.0,6-7,"Snyder in Jersey City, New Jersey",Rafael Addison,Small Forward,Right,215lb,346600.0
afflaar01,"October 15, 1985","Los Angeles, California",1.8,45.0,38.6,82.5,762.0,11.9,10.8,2.9,33.5,51.4,"University of California, Los Angeles",27th overall,1st round,Detroit Pistons,2007.0,6-5,"Centennial in Compton, California",Arron Afflalo,Shooting Guard and Small Forward,Right,210lb,4904346.58
alarima01,"December 11, 1963","Phoenix, Arizona",1.1,47.5,25.2,77.5,325.0,13.0,7.5,3.4,8.4,48.3,Duke University,18th overall,1st round,Denver Nuggets,1986.0,6-8,"Brophy College Preparatory in Phoenix, Arizona",Mark Alarie,Power Forward,Right,217lb,383125.0
aldrico01,"October 31, 1988","Burnsville, Minnesota",0.5,52.7,-,73.8,339.0,16.6,3.1,3.3,9.6,52.7,University of Kansas,11th overall,1st round,New Orleans Hornets,2010.0,6-11,"Thomas Jefferson in Bloomington, Minnesota",Cole Aldrich,Center,Right,250lb,3411951.86
aldrila01,"July 19, 1985","Dallas, Texas",2.0,49.1,28.3,81.0,950.0,20.9,19.6,8.4,107.0,49.5,University of Texas at Austin,2nd overall,1st round,Chicago Bulls,2006.0,6-11,"Seagoville in Seagoville, Texas",LaMarcus Aldridge,Power Forward and Center,Right,260lb,12301576.83
alexaco01,"June 22, 1973","Waynesboro, Virginia",2.7,38.9,35.4,75.6,307.0,12.4,5.5,1.6,3.0,46.8,University of Virginia,29th overall,1st round,San Antonio Spurs,1995.0,6-1,"Oak Hill Academy in Mouth of Wilson, Virginia",Cory Alexander,Shooting Guard and Point Guard,Right,185lb,1520144.75
alexaco02,"April 27, 1977","Bridgeport, Connecticut",1.2,42.2,33.9,81.3,187.0,11.5,9.0,2.2,4.1,43.5,"University of Virginia, California State University, Fresno",13th overall,1st round,Orlando Magic,2000.0,6-5,"Jordan in Durham, North Carolina",Courtney Alexander,Point Guard and Shooting Guard,Right,205lb,1300460.4
